Timestamp,Description,Domain,Expression,R2_Score,Validation_Score,Valid,Complexity
2025-11-26T20:55:37.723606,Impermanent Loss in AMM Pool,defi,(price_ratio/(price_ratio + 1.4091635)**2.3158338 - 0.12823491)*4.3896694,0.9918951531229984,85.45,True,11
2025-11-26T20:55:54.771093,Uniswap V2 Swap Output with 0.3% Fee,defi,amount_in*(-0.61682767 - (-0.56763846)*(amount_in - 2.963231)/reserve_in)*(0.0053935577 + reserve_out*(-1.6136296)/reserve_in) - 1*(-0.13659051),0.9999669626202404,74.9,False,21
2025-11-26T20:56:09.809273,Lending Pool Utilization Rate,defi,borrowed/supplied,0.9960095145108544,91.3,False,3
2025-11-26T20:56:24.297730,Constant Product Pool Total Value,defi,2.00019239074645*sqrt(reserve0*reserve1),0.9999959693484328,89.8,False,6
